filename,frame_number,weight
0715_01,0,7.499
0715_01,1,7.499
0715_01,2,7.499
0715_01,3,7.498
0715_01,4,7.496
0715_01,5,7.496
0715_01,6,7.496
0715_01,7,7.496
0715_01,8,7.496
0715_01,9,7.498
0715_01,10,7.5
0715_01,11,7.501
0715_01,12,7.499
0715_01,13,7.497
0715_01,14,7.495
0715_01,15,7.495
0715_01,16,7.494
0715_01,17,7.501
0715_01,18,7.492
0715_01,19,7.497
0715_01,20,7.496
0715_01,21,7.496
0715_01,22,7.496
0715_01,23,7.503
0715_01,24,7.5
0715_01,25,7.497
0715_01,26,7.494
0715_01,27,7.494
0715_01,28,7.496
0715_01,29,7.497
0715_01,30,7.496
0715_01,31,7.496
0715_01,32,7.499
0715_01,33,7.5
0715_01,34,7.5
0715_01,35,7.5
0715_01,36,7.499
0715_01,37,7.497
0715_01,38,7.497
0715_01,39,7.5
0715_01,40,7.501
0715_01,41,7.502
0715_01,42,7.502
0715_01,43,7.502
0715_01,44,7.502
0715_01,45,7.502
0715_01,46,7.502
0715_01,47,7.501
0715_01,48,7.5
0715_01,49,7.5
0715_01,50,7.5
0715_01,51,7.5
0715_01,52,7.5
0715_01,53,7.5
0715_01,54,7.5
0715_01,55,7.5
0715_01,56,7.501
0715_01,57,7.501
0715_01,58,7.501
0715_01,59,7.501
0715_01,60,7.501
0715_01,61,7.501
0715_01,62,7.5
0715_01,63,7.499
0715_01,64,7.498
0715_01,65,7.498
0715_01,66,7.5
0715_01,67,7.5
0715_01,68,7.5
0715_01,69,7.5
0715_01,70,7.5
0715_01,71,7.5
0715_01,72,7.5
0715_01,73,7.5
0715_01,74,7.5
0715_01,75,7.5
0715_01,76,7.5
0715_01,77,7.5
0715_01,78,7.5
0715_01,79,7.5
0715_01,80,7.5
0715_01,81,7.5
0715_01,82,7.5
0715_01,83,7.5
0715_01,84,7.5
0715_01,85,7.5
0715_01,86,7.5
0715_01,87,7.5
0715_01,88,7.5
0715_01,89,7.5
0715_01,90,7.5
0715_01,91,7.5
0715_01,92,7.5
0715_01,93,7.5
0715_01,94,7.5
0715_01,95,7.5
0715_01,96,7.5
0715_01,97,7.5
0715_01,98,7.5
0715_01,99,7.5
0715_01,100,7.5
0715_01,101,7.5
0715_01,102,7.5
0715_01,103,7.5
0715_01,104,7.5
0715_01,105,7.501
0715_01,106,7.501
0715_01,107,7.501
0715_01,108,7.501
0715_01,109,7.5
0715_01,110,7.501
0715_01,111,7.501
0715_01,112,7.501
0715_01,113,7.501
0715_01,114,7.501
0715_01,115,7.5
0715_01,116,7.5
0715_01,117,7.5
0715_01,118,7.5
0715_01,119,7.501
0715_01,120,7.502
0715_01,121,7.502
0715_01,122,7.501
0715_01,123,7.501
0715_01,124,7.501
0715_01,125,7.5
0715_01,126,7.5
0715_01,127,7.5
0715_01,128,7.5
0715_01,129,7.5
0715_01,130,7.5
0715_01,131,7.5
0715_01,132,7.501
0715_01,133,7.501
0715_01,134,7.501
0715_01,135,7.501
0715_01,136,7.501
0715_01,137,7.501
0715_01,138,7.501
0715_01,139,7.5
0715_01,140,7.499
0715_01,141,7.498
0715_01,142,7.498
0715_01,143,7.498
0715_01,144,7.498
0715_01,145,7.498
0715_01,146,7.498
0715_01,147,7.499
0715_01,148,7.501
0715_01,149,7.501
0715_01,150,7.499
0715_01,151,7.499
0715_01,152,7.499
0715_01,153,7.499
0715_01,154,7.499
0715_01,155,7.499
0715_01,156,7.498
0715_01,157,7.497
0715_01,158,7.488
0715_01,159,7.495
0715_01,160,7.495
0715_01,161,7.502
0715_01,162,7.485
0715_01,163,7.484
0715_01,164,7.479
0715_01,165,7.496
0715_01,166,7.482
0715_01,167,7.492
0715_01,168,7.493
0715_01,169,7.495
0715_01,170,7.496
0715_01,171,7.499
0715_01,172,7.497
0715_01,173,7.496
0715_01,174,7.498
0715_01,175,7.5
0715_01,176,7.497
0715_01,177,7.499
0715_01,178,7.499
0715_01,179,7.499
0715_01,180,7.499
0715_01,181,7.498
0715_01,182,7.498
0715_01,183,7.498
0715_01,184,7.499
0715_01,185,7.499
0715_01,186,7.499
0715_01,187,7.5
0715_01,188,7.499
0715_01,189,7.499
0715_01,190,7.5
0715_01,191,7.498
0715_01,192,7.497
0715_01,193,7.497
0715_01,194,7.499
0715_01,195,7.501
0715_01,196,7.501
0715_01,197,7.501
0715_01,198,7.501
0715_01,199,7.501
0715_01,200,7.501
0715_01,201,7.5
0715_01,202,7.5
0715_01,203,7.5
0715_01,204,7.5
0715_01,205,7.5
0715_01,206,7.499
0715_01,207,7.499
0715_01,208,7.499
0715_01,209,7.499
0715_01,210,7.499
0715_01,211,7.498
0715_01,212,7.498
0715_01,213,7.499
0715_01,214,7.5
0715_01,215,7.5
0715_01,216,7.5
0715_01,217,7.5
0715_01,218,7.5
0715_01,219,7.5
0715_01,220,7.501
0715_01,221,7.501
0715_01,222,7.501
0715_01,223,7.501
0715_01,224,7.501
0715_01,225,7.501
0715_01,226,7.501
0715_01,227,7.501
0715_01,228,7.501
0715_01,229,7.501
0715_01,230,7.501
0715_01,231,7.5
0715_01,232,7.5
0715_01,233,7.5
0715_01,234,7.5
0715_01,235,7.5
0715_01,236,7.5
0715_01,237,7.5
0715_01,238,7.5
0715_01,239,7.5
0715_01,240,7.5
0715_01,241,7.5
0715_01,242,7.499
